"model_name","intercept","slope","Std_Error_slope","p_value_slope","Std_Error_intercept","p_value_intercept"
"GB0.5m_July_biofilm_NO3",0.0334819803966147,0.000146586465292335,2.5763299993407e-05,3.35090085530855e-05,0.028149227622668,0.251616711924824
"GB10m_July_sediment_NO3",12.5049608591901,0.00956325785573653,0.00348563311107167,0.0144218990496525,3.8084360263543,0.00467922465789711
"SH3m_July_sediment_NO3",3.0803773291889,0.0048646071137337,0.00250739847199698,0.0702021990339423,2.73960751716724,0.277435475264955
"GB3m_July_sediment_NO3",21.3678971014329,0.00230196460598008,0.00771219616002294,0.76917559398217,8.42641917901459,0.0220252406480818
"GB0.5m_July_sediment_NH3",-0.219514673945397,0.0949132279994631,0.0059049295144728,2.69815006245261e-11,5.84761511419234,0.970519487942727
"GB3m_July_sediment_NH3",23.2040126995569,0.201803269344439,0.0194482257956603,1.63867988993215e-08,19.2594575139619,0.245795132948412
"SH3m_July_sediment_NH3",4.52802341021115,0.0364777259855278,0.00273998432322572,4.50726381100081e-10,2.71338949971789,0.114609933963564
"GB10m_July_sediment_NH3",16.9877841523719,0.116611459545622,0.00671981375099216,8.43376250544086e-12,6.65458992500229,0.0212827614049905
"GB0.5m_July_biofilm_NH3",-0.11744909044174,0.000263670889283526,2.91953001781667e-05,1.11176600314004e-07,0.0289119248869599,0.000905404965914698
"GB0.5m_July_sediment_NO3",-5.23025129604973,-0.0140081217060474,0.00585956009138056,0.0294625200835503,6.40221131699673,0.425957720920673
"GB10m_June_sediment_NO3",0.544791675086759,0.0620209391483414,0.0147525255077195,0.000672718072027204,13.4942009597461,0.968295817176347
"SH3m_June_sediment_NH3",18.3854378509488,0.0894039712556315,0.00639296022597356,2.17516580060533e-10,5.40892998805586,0.00366720417514525
"GB0.5m_June_sediment_NH3",3.15515932478822,0.0716031693928466,0.00294429063236862,4.60506859681967e-14,2.49109353602233,0.223435693347993
"GB10m_June_sediment_NH3",18.3877114554653,0.100635006625193,0.00560276951643834,4.9850384587201e-12,4.74036862148842,0.00133150442266282
"SH3m_June_sediment_NO3",17.0995375820066,0.030075036274393,0.011089450127195,0.0153876496375259,10.1435695516098,0.111243068272156
"GB3m_June_sediment_NO3",-1.68506168195907,0.0370464467224115,0.015605252146225,0.0304543453520432,14.2741938238628,0.907497724749719
"GB0.5m_June_biofilm_NH3",0.139687654020344,0.000442659087042544,4.79468991924953e-05,8.24786938055874e-08,0.0405667189704884,0.00333974801246264
"GB3m_June_sediment_NH3",23.5076862322879,0.0992108017796545,0.00782610230465919,9.25384709870898e-10,6.62147705428869,0.00266528371945509
"GB0.5m_June_sediment_NO3",-0.344719966520754,0.00771124286082334,0.0102039561475453,0.460804120699367,9.33360425422497,0.970995140135479
"GB0.5m_June_biofilm_NO3",0.109296909602475,0.000227215522626173,5.30491564449491e-05,0.000570391316233854,0.0485243002927579,0.0386905356326704
"GB10m_May_sediment_NO3",14.7272308969293,0.00742217464130954,0.0198584915211906,0.714187128517746,12.309065014944,0.251389124581343
"GB0.5m_May_biofilm_NO3",0.00315334921482455,0.00126447908909062,0.000296310897163343,0.000917065211950475,0.162348870050174,0.984798381983976
"GB3m_May_sediment_NO3",9.59809618357209,0.0253620196302547,0.0146230268824697,0.102069266538738,8.54554620972188,0.277936646585832
"SH3m_May_sediment_NO3",11.2062791601382,0.0053379498251112,0.0236860024084831,0.824550121200201,13.8418557069007,0.430049983578991
"GB0.5m_May_biofilm_NH3",-0.141791119876282,0.000247038858290196,0.000227516536549522,0.293653764410763,0.116911002867607,0.242804972834959
"GB10m_May_sediment_NH3",11.4543791322999,0.110989740135924,0.00848846814117585,5.87720995593934e-10,4.36186018935196,0.0183436691956712
"GB0.5m_May_sediment_NO3",-4.86158320288181,-0.010395674744381,0.0151970888894498,0.503727158930322,8.88102213049552,0.591650047331724
"GB0.5m_May_sediment_NH3",-15.0328458427471,0.098674665314755,0.0379748096519742,0.0194028061827624,19.5136280968853,0.452302278802643
"GB3m_May_sediment_NH3",11.6829335403117,0.152302569993676,0.0268146046905157,3.41563259043506e-05,13.7788767946732,0.409006168572471
"SH3m_May_sediment_NH3",7.51006850159851,0.121784791578381,0.0176615740735163,3.60123041503049e-06,9.07552641434431,0.42012081629134
"BW0.5m_July_sediment_NO3",-1.07344792876652,0.00937414285490675,0.00102990479999951,1.87715741266871e-06,1.25521514970012,0.410685846972262
"BW3m_July_sediment_NO3",-2.61619375694551,0.00598507227571033,0.00127231822738017,0.000238850211728041,1.41354981330528,0.0827496417365625
"SS3m_July_sediment_NO3",16.0272910210519,0.0271625369315586,0.00321174121722363,2.67652241430861e-07,3.56825525272834,0.00036988625303419
"BW10m_July_sediment_NO3",4.52670986912528,0.0172657323444679,0.00142227960040552,1.73996958912126e-09,1.58015740115652,0.0112333493504056
"BW0.5m_July_sediment_NH3",0.290041228586837,0.0714005302474459,0.0023662747406502,1.56571629603621e-15,2.28131621301032,0.900415547065728
"BW3m_July_sediment_NH3",2.14391167759346,0.0489992474501612,0.00453767855126836,9.33867070576092e-09,4.37475812533638,0.630740481433034
"SS3m_July_sediment_NH3",12.7422494275356,0.0977675342995731,0.00535198197428354,3.85020317757272e-12,5.15982486730053,0.0251693807017394
"BW0.5m_July_biofilm_NO3",0.0203403197750469,0.000120637032815315,1.85339176446595e-05,9.8750325660383e-06,0.0211643483108336,0.351756712819978
"BW10m_July_sediment_NH3",-3.34393840887576,0.0803763945613623,0.00533788017808267,7.21293091477657e-11,5.14622938079469,0.525051626019124
"BW0.5m_July_biofilm_NH3",0.0310971226090373,0.00012290438316172,1.54867763298692e-05,2.44116039728965e-06,0.0130205839919137,0.0327948083068335
"BW3m_June_sediment_NO3",0.288750175393732,-0.00184978677818744,0.00137301781961125,0.196673732484686,1.12305417575821,0.800369855658896
"BW0.5m_June_sediment_NO3",-2.08281650021067,0.00366102441756732,0.00123792004282714,0.00926669456781161,1.0125515149872,0.056370241870956
"BW0.5m_June_sediment_NH3",3.91508574365129,0.0477899281736901,0.00217143191394933,2.17754753179112e-13,1.94838005188348,0.0616721013107128
"BW3m_June_sediment_NH3",3.76171227892134,0.0459635078309072,0.00153559053830194,1.7773347333644e-15,1.37785299804631,0.0148272193042029
"SS3m_June_sediment_NH3",11.8272503417282,0.0748182097851206,0.0039501953961183,2.21126518170597e-12,3.54442700293594,0.0041815581429796
"SS3m_June_sediment_NO3",6.74604205399029,0.0179261602237191,0.00526094280198394,0.00360342064719364,4.30316613360926,0.136515313078845
"BW10m_June_sediment_NO3",1.13632612464381,0.00484251788071144,0.0011816988232536,0.000950240267226647,0.994114908627939,0.270932872313055
"BW0.5m_June_biofilm_NH3",0.131339494422615,0.000322285701270808,3.88585702965763e-05,3.46227843524798e-07,0.0348669754387372,0.00168660621452486
"BW10m_June_sediment_NH3",3.68513656403761,0.0367231305761379,0.0010481192355968,1.48286556829487e-16,0.940455280920143,0.00122519532390209
"BW0.5m_June_biofilm_NO3",0.102518784143454,0.000261023715172762,3.03963521345986e-05,2.18583145555342e-07,0.0248625689375563,0.000796474961155644
"BW3m_May_sediment_NO3",2.50034610202233,0.0100228582704195,0.00362891928634747,0.0138887861582279,2.37130852826947,0.307355508524525
"BW0.5m_May_sediment_NO3",5.04394802256951,0.0132242518118889,0.0148296276697677,0.38759944223424,9.17595661546391,0.591192452003706
"SS3m_May_sediment_NO3",-2.24830642435413,0.0319931198529052,0.0100159335553198,0.00564583539217182,6.54488755031404,0.735679069759833
"BW3m_May_sediment_NH3",7.58632182582173,0.0267909409237454,0.00465785578053737,2.97327559502351e-05,2.71982675617555,0.0131287581751895
"SS3m_May_sediment_NH3",12.3953858735769,0.0287824894148323,0.0047720606162926,1.74541184784662e-05,2.7865135285032,0.00040456352400972
"BW0.5m_May_biofilm_NO3",0.133261377917743,0.000261859244211264,4.10591511422551e-05,3.51718048188979e-05,0.030362745754712,0.000882289943454945
"BW10m_May_sediment_NH3",3.97692576186193,0.0296740199811772,0.00274079928904531,8.99645011790163e-09,1.60041435177118,0.0244021698483056
"BW10m_May_sediment_NO3",1.10590019088985,0.0101479173912709,0.0011531593673152,1.57633710912546e-07,0.753529198749594,0.161587773352058
"BW0.5m_May_sediment_NH3",29.9946747274785,0.091974539692509,0.0223203965614834,0.00103937984246358,13.1656194630459,0.0389203599248607
"BW0.5m_May_biofilm_NH3",0.127859976082759,0.000291450845683861,7.22072016664902e-05,0.000956199557785739,0.042163409159574,0.00792350823848098
